Mutta jos takana oli Pohjois-Korea , Sullivan on valmis kippaamaan syyn Yhdysvaltain niskaan .	Sullivan
Kuljetus , verot ja muut lisäerät nostanevat laitteen hintaa reippaasti , jos sitä tänne asti saadaan .	NONE
Tyypillinen botti oli yhteydessä isäntäänsä joka kolmas minuutti , Check Pointin Pohjoismaiden aluejohtaja Örjan Westman toteaa tiedotteessa .	Örjan Westman
Eri työntekijät julkaisivat Twitterissä lausuntoja , joissa he vaativat Eichin eroa .	Eichin
Sténin mukaan yhtiössä on nyt kahdeksan työntekijää , ja muutama aiotaan palkata lisää .	Sténin
– Meillä on tilaisuus tarjota saumaton kuvanlaatu ilman puskurointia ( eli etukäteislatausta ) ja uskon meidän olevan siinä hyviä , Hunt sanoo .	Hunt
Edward Snowden onnistui pääsemään käsiksi jopa 1,7 miljoonaan tiedostoon tiedusteluvirasto NSA:n sisäverkossa käyttämällä halpaa ja laajasti saatavilla olevaa hakurobottia ( web crawler ) .	Edward Snowden
Mutta ei ole selvää , saako tietojaan takaisin edes rahoja maksamalla .	NONE
Se ei vain voi olla , Sullivan painotti NY Timesille .	Sullivan
– Jos Siemensillä on Yhdysvaltain kansallista etua hyödyttävää tietoa , vaikka sillä ei olisi mitään tekemistä kansallisen turvallisuuden kanssa , he ottavat sen tiedon käsiinsä silti , Snowden sanoi Reutersin mukaan ARD-verkostolle .	Snowden
Facebookin perustaja Mark Zuckerberg tykkää haasteista .	Mark Zuckerberg
Norjalaisen Opera Softwaren perustaja ja entinen toimitusjohtaja Jon von Tetzchner on kehittämässä Opera-selaimelle kilpailijaa .	Jon von Tetzchner
Teleoperaattori varmisti : 12 miljardin kauppa vireillä	NONE
Nokia ja Continental kehittävät erittäin tarkkaa karttateknologiaa Electronic Horizon -alustalle , jonka on tarkoitus pystyä jatkuvasti paikantamaan auto 10 – 20 senttimetrin tarkkuudella , Nokian tiedote kertoo .	NONE
Mozilla vahvisti Eichin eron yritysblogissa , jossa sanottiin muun muassa :	Eichin
Evleaksin vuotaman kuvan perusteella Nokian muokkaama Android muistuttaa värikkäine ruutuineen hyvin paljon Windows Phone -käyttöjärjestelmää .	Evleaksin
"Kim Dotcom petaa uutta palvelua : "" Hei hei Skype """	Kim Dotcom
Tietomurron kärsinyt – tai joidenkin mielestä itse aiheuttanut – Snapchat julkaisi torstaina päivitetyn version suositusta kuvasovelluksestaan Androidille ja iOS:lle .	NONE
Presidentti Barack Obamalla ei ole enää mitään menetettävää .	Barack Obamalla
Tiedotteessaan Moody's pitää luokituksen näkymiä vakaina .	NONE
64 000 työntekijän ryhmäkanteessa Googlea ja kumppaneita syytettiin salaliitosta palkkakulujen alhaalla pitämiseksi Piilaaksossa rajoittamalla työntekijöiden palkkaamista teknologiayhtiöstä toiseen viime vuosikymmenellä .	NONE
Mobiilialan kehitysalustoja tarjoaa tällä hetkellä noin 200 yritystä , Gartnerin johtaja Ken Dulaney sanoi .	Ken Dulaney
Sen ratkaisemiseksi on parasta lopettaa Flappy Bird , Nguyen selitti Forbesille .	Nguyen
Microsoftin perustaja ja pitkäaikainen johtaja Bill Gates antaisi tukensa uudelle toimitusjohtajalle , jos tämä päättäisi myydä Xbox-pelikonsolit pois .	Bill Gates
Niissä paljastui , että molemmissa toimitusjohtajan valintaprosesseissa Jorma Ollilan ehdokas oli joku muu se , joka kuin tehtävään lopulta päätyi .	Jorma Ollilan
– Lennokit voivat olla äärimmäisen meluisia ja vaikuttaa luonnolliseen äänimaisemaan .	NONE
– Tässä projektissa NSN rakentaa overlay-lte-verkon , joka nopeuttaa huomattavasti datasiirtoa ja tarjoaa käyttäjille ylipäätään paremman viestintäkokemuksen , sanoi NSN:n itäisen alueen johtaja Kristina Tikhonova yhtiön tiedotteessa .	Kristina Tikhonova
Jatkossa näiden raja hämärtyy , Rautanen sanoo .	Rautanen
Krebs oli tosin jo paljastanut murron blogissaan ennen Targetin ulostuloa .	Krebs
Nappiaivot paljasti Intelin pääjohtaja Brian Krzanich .	Brian Krzanich
Asian paljasti Applen toimitusjohtaja Tim Cook osavuosikatsauksen yhteydessä .	Tim Cook
Yhdysvaltain presidentti Barack Obama sanoi viime perjantaina , että Sonyn ei olisi pitänyt vetää elokuvaa pois levityksestä .	Barack Obama
Snowden imi NSA-tiedot hakurobotilla	Snowden
Huhu : Samsung ottaa Applesta mallia tulevassa huippupuhelimessa	NONE
Microsoft Windows Phone -maksuista : Täyttä potaskaa	NONE
